session_id,customer_id,station_id,session_start_time,kwh_charged,cost_per_kwh,total_cost
S00001,C3806,18,2025-10-04 05:42:00,46.69197072015878,1.8513967524242176,86.44536295558862
S00002,C4931,98,2025-10-19 16:12:00,39.06171565635014,3.256198927234891,127.19271661616166
S00003,C2250,145,2025-09-14 15:18:00,30.2805246253095,2.704520137017849,81.8942886086144
S00004,C3790,165,2025-10-06 23:22:00,44.57707880059238,1.8513967524242176,82.52985892397517
S00005,C4834,68,2025-09-26 09:07:00,37.99820860408356,2.704520137017849,102.76692034034888
S00006,C6834,55,2025-09-01 16:53:00,42.520575277560496,3.256198927234891,138.45545160420292
S00007,C0967,131,2025-11-02 12:01:00,47.1335344041014,2.704520137017849,127.47359292471582
S00008,C5713,33,2025-10-30 12:14:00,20.677966277915708,2.704520137017849,55.92397619119905
S00009,C5256,85,2025-09-21 08:58:00,26.96097074893281,2.704520137017849,72.91648830403798
S00010,C7412,92,2025-11-05 14:04:00,67.21373052815379,2.704520137017849,181.78088769748328
S00011,C4601,27,2025-10-11 21:52:00,29.90724619195886,1.8513967524242176,55.37017847374418
S00012,C6216,104,2025-10-03 08:17:00,30.693814039465856,2.704520137017849,83.01203815161658
S00013,C4870,70,2025-09-18 17:38:00,39.07956672858102,3.256198927234891,127.25084325840986
S00014,C5871,109,2025-08-18 18:08:00,34.27054219315887,3.256198927234891,111.59170272512198
S00015,C3067,68,2025-11-05 10:00:00,53.89688592079321,2.704520137017849,145.76521329533904
S00016,C3815,126,2025-08-13 14:54:00,48.38982769268698,2.704520137017849,130.8712634216959
S00017,C7276,150,2025-09-28 17:16:00,39.48518312899556,3.256198927234891,128.57161094630857
S00018,C1764,1,2025-10-21 07:16:00,52.63158605602331,1.8513967524242176,97.44194749905729
S00019,C6205,160,2025-09-29 14:07:00,32.97787835264151,2.704520137017849,89.18933608084399
S00020,C4149,28,2025-11-08 14:12:00,49.780133347415244,2.704520137017849,134.63137306151827
S00021,C1277,85,2025-08-14 04:34:00,29.89569133808997,1.8513967524242176,55.34878585481658
S00022,C1964,145,2025-09-10 13:03:00,16.76969737813273,2.704520137017849,45.3539842508554
S00023,C5352,51,2025-08-21 22:10:00,33.187994190955116,1.8513967524242176,61.4441446646081
S00024,C0652,68,2025-08-20 09:22:00,45.27955566300996,2.704520137017849,122.45947008583101
S00025,C6109,104,2025-10-23 15:39:00,57.30560749437622,2.704520137017849,154.98416943258144
S00026,C7621,33,2025-08-23 19:51:00,38.280955319509516,3.256198927234891,124.65040564491368
S00027,C5244,85,2025-08-19 08:48:00,48.30656844034748,2.704520137017849,130.64608709715068
S00028,C6471,155,2025-10-01 12:00:00,41.27241488482524,2.704520137017849,111.62207715936506
S00029,C1762,82,2025-10-07 15:38:00,29.63449475930218,2.704520137017849,80.14708782688265
S00030,C4879,150,2025-10-15 16:08:00,30.414663586459938,3.256198927234891,99.03619494244096
S00031,C1098,163,2025-11-05 12:06:00,37.15795437768527,2.704520137017849,100.49443586484036
S00032,C5270,104,2025-10-24 23:10:00,48.00459195323211,1.8513967524242176,88.87554564366366
S00033,C1890,85,2025-09-16 12:55:00,59.00899693100065,2.704520137017849,159.59102046511572
S00034,C4648,130,2025-08-27 14:40:00,49.14713479161407,2.704520137017849,132.9194157206508
S00035,C3522,62,2025-10-11 12:09:00,29.935218936870235,2.704520137017849,80.9604024208036
S00036,C7359,98,2025-10-27 14:07:00,37.2561637272106,2.704520137017849,100.76004502827503
S00037,C0596,82,2025-09-28 12:20:00,19.196290023178122,2.704520137017849,51.91675292372006
S00038,C4351,156,2025-10-05 20:14:00,37.765560612733786,1.8513967524242176,69.91903627189528
S00039,C3851,175,2025-09-21 14:56:00,69.16078549646411,2.704520137017849,187.0467370671592
S00040,C1093,78,2025-09-16 10:18:00,30.32026814816086,2.704520137017849,82.00177576648194
S00041,C6522,116,2025-09-22 10:03:00,35.0634041730361,2.704520137017849,94.82968265837181
S00042,C0580,106,2025-08-16 15:40:00,31.179962061344966,2.704520137017849,84.32683526636002
S00043,C0543,18,2025-10-02 10:04:00,25.648544864443558,2.704520137017849,69.36700607109334
S00044,C3147,73,2025-10-15 08:33:00,45.93977366104316,2.704520137017849,124.24504295633344
S00045,C0345,73,2025-10-10 10:13:00,44.2854780347362,2.704520137017849,119.7709671224057
S00046,C4858,175,2025-09-03 08:05:00,41.28497362234471,2.704520137017849,111.656042517882
S00047,C2437,98,2025-09-27 13:21:00,25.366336039395293,2.704520137017849,68.60376662090616
S00048,C2146,78,2025-10-31 08:46:00,41.66749353842893,2.704520137017849,112.69057533374215
S00049,C4906,182,2025-11-07 09:45:00,27.061252001524164,2.704520137017849,73.18770097103668
S00050,C6383,163,2025-09-04 17:48:00,59.21673279721187,3.256198927234891,192.82146180863649
S00051,C1378,21,2025-11-06 17:21:00,38.45943953664771,3.256198927234891,125.23158576128742
S00052,C6010,146,2025-08-15 09:32:00,27.28834834687584,2.704520137017849,73.80188761008344
S00053,C3170,106,2025-08-24 17:29:00,35.77204644794097,3.256198927234891,116.4808992687821
S00054,C0251,98,2025-10-12 13:15:00,38.01418913785402,2.704520137017849,102.81014001573138
S00055,C6533,88,2025-08-25 19:08:00,30.231430803618657,3.256198927234891,98.43955255151891
S00056,C3677,175,2025-10-30 12:34:00,36.36067820918913,2.704520137017849,98.3381864123781
S00057,C0458,61,2025-08-16 03:38:00,20.032370199528366,1.8513967524242176,37.087865130766495
S00058,C1017,14,2025-10-30 00:13:00,16.192281947592555,1.8513967524242176,29.978338212110142
S00059,C3867,164,2025-10-23 10:01:00,36.03998574188576,2.704520137017849,97.47086717676619
S00060,C0697,155,2025-10-06 17:09:00,48.94344443974555,3.256198927234891,159.36959127987996
S00061,C5293,20,2025-10-07 10:52:00,39.01491078688615,2.704520137017849,105.51661186708849
S00062,C7967,102,2025-08-12 03:30:00,53.01505808126212,1.8513967524242176,98.15190636122996
S00063,C1738,104,2025-08-20 14:17:00,47.43762793191937,2.704520137017849,128.29601999423633
S00064,C4836,64,2025-11-08 17:58:00,65.42863143764275,3.256198927234891,213.04863949769938
S00065,C7443,176,2025-08-20 01:52:00,31.345577708130563,1.8513967524242176,58.033100771693874
S00066,C4399,36,2025-10-31 13:25:00,36.255527732346366,2.704520137017849,98.05380483033981
S00067,C1429,131,2025-09-30 02:23:00,50.38286486729268,1.8513967524242176,93.27867239313389
S00068,C1613,60,2025-09-19 15:44:00,38.71215954605237,2.704520137017849,104.69781503974639
S00069,C0110,156,2025-09-19 16:39:00,34.505547604246495,3.256198927234891,112.3569270925999
S00070,C5578,141,2025-08-17 09:50:00,14.703951263731474,2.704520137017849,39.76713228649082
S00071,C5108,118,2025-09-09 02:27:00,26.320758892011966,1.8513967524242176,48.730167534011805
S00072,C3763,20,2025-09-10 07:33:00,31.16735866900032,1.8513967524242176,57.703146621427976
S00073,C6353,141,2025-09-17 11:19:00,26.5915376404213,2.704520137017849,71.9173490227875
S00074,C1079,102,2025-10-09 08:09:00,46.985923751008364,2.704520137017849,127.07437694098735
S00075,C2247,104,2025-10-01 13:46:00,32.56460924348291,2.704520137017849,88.07164145311712
S00076,C7120,157,2025-10-03 00:42:00,29.16355216605284,1.8513967524242176,53.993305769384484
S00077,C7902,53,2025-08-29 12:47:00,43.31115608312809,2.704520137017849,117.13589378434303
S00078,C4066,60,2025-09-16 10:47:00,28.655401539360007,2.704520137017849,77.4991104975314
S00079,C6474,153,2025-10-04 17:46:00,46.90300882515,3.256198927234891,152.72552702054207
S00080,C2968,102,2025-09-26 23:19:00,33.197777388336895,1.8513967524242176,61.46225724446905
S00081,C2138,153,2025-11-02 05:52:00,37.60543683738033,1.8513967524242176,69.62258363421999
S00082,C3118,145,2025-08-26 19:02:00,30.891503308792203,3.256198927234891,100.58887993476226
S00083,C6736,160,2025-08-15 14:43:00,74.9284504895251,2.704520137017849,202.64550318446555
S00084,C6251,102,2025-08-19 08:59:00,27.928975963187845,2.704520137017849,75.53447789872901
S00085,C2344,28,2025-09-02 08:00:00,26.061869760847223,2.704520137017849,70.48485157654787
S00086,C7025,124,2025-08-15 12:55:00,39.55275724980612,2.704520137017849,106.97122845667937
S00087,C3243,27,2025-10-21 04:13:00,33.1803218279843,1.8513967524242176,61.42994007672051
S00088,C3335,165,2025-09-01 19:13:00,47.776106308629515,3.256198927234891,155.56850610961953
S00089,C3102,64,2025-09-26 10:05:00,27.1562888489155,2.704520137017849,73.44473003856524
S00090,C7798,81,2025-09-23 03:48:00,56.698700916599634,1.8513967524242176,104.97179074366457
S00091,C4785,82,2025-10-21 14:49:00,45.334155028106515,2.704520137017849,122.60713516820304
S00092,C4816,13,2025-09-01 22:23:00,27.337092276528917,1.8513967524242176,50.6118038614868
S00093,C6342,144,2025-10-30 13:25:00,57.78646808125521,2.704520137017849,156.2846665728939
S00094,C4761,21,2025-09-04 04:40:00,35.702906672342316,1.8513967524242176,66.1002454652795
S00095,C4253,62,2025-10-07 12:34:00,32.08893326698582,2.704520137017849,86.7851661959851
S00096,C3772,156,2025-08-20 17:39:00,38.220492382871285,3.256198927234891,124.4535262954948
S00097,C0979,153,2025-11-05 03:33:00,37.51061733658358,1.8513967524242176,69.4470351183784
S00098,C5734,63,2025-09-21 09:51:00,35.96606080382935,2.704520137017849,97.27093569316484
S00099,C6286,1,2025-10-26 05:30:00,55.68551052627394,1.8513967524242176,103.09597334542815
S00100,C2363,118,2025-09-04 16:53:00,44.80815207344098,3.256198927234891,145.90425671291638
S00101,C0410,62,2025-10-30 10:32:00,37.291532860509534,2.704520137017849,100.85570156151087
S00102,C0856,70,2025-10-11 04:17:00,26.381301060106015,1.8513967524242176,48.84225510740585
S00103,C6019,85,2025-09-25 14:55:00,63.04939213267455,2.704520137017849,170.51835064955307
S00104,C1350,21,2025-08-12 08:01:00,29.32638718359993,2.704520137017849,79.31380468402818
S00105,C0146,1,2025-10-19 08:43:00,38.11258539256518,2.704520137017849,103.07625466800485
S00106,C3451,18,2025-08-23 15:37:00,50.558513572008394,2.704520137017849,136.73651805318693
S00107,C1829,51,2025-10-20 10:31:00,50.657037082343805,2.704520137017849,137.00297687085873
S00108,C6923,159,2025-11-06 08:08:00,30.626722494089165,2.704520137017849,82.83058771612167
S00109,C3875,18,2025-09-19 10:48:00,57.041168029345044,2.704520137017849,154.2689875743824
S00110,C2143,85,2025-09-30 08:11:00,34.26207224651133,2.704520137017849,92.66246432665027
S00111,C3499,78,2025-08-21 10:16:00,42.45941809789701,2.704520137017849,114.83235125182256
S00112,C1245,88,2025-09-27 12:16:00,33.03907994547568,2.704520137017849,89.35485702108154
S00113,C7190,175,2025-08-25 10:32:00,60.553916743176714,2.704520137017849,163.76928720722373
S00114,C4798,176,2025-10-06 01:46:00,30.16658864686098,1.8513967524242176,55.85032425251569
S00115,C4771,106,2025-09-19 16:50:00,28.254052486508698,3.256198927234891,92.00081539660793
S00116,C0922,28,2025-10-30 01:44:00,36.04091335422975,1.8513967524242176,66.72602993842358
S00117,C3403,150,2025-09-17 14:09:00,26.313900461334082,2.704520137017849,71.16647368116129
S00118,C0942,55,2025-10-04 01:34:00,34.477218751532746,1.8513967524242176,63.83101082920707
S00119,C1418,156,2025-08-22 09:03:00,23.516124009759377,2.704520137017849,63.59983092900316
S00120,C2561,116,2025-09-28 21:39:00,30.18418539578378,1.8513967524242176,55.88290281632459
S00121,C7239,160,2025-10-16 10:18:00,54.47569816186805,2.704520137017849,147.33062265687838
S00122,C1907,145,2025-08-15 10:07:00,59.34341555034829,2.704520137017849,160.49546235533512
S00123,C0181,78,2025-09-18 16:06:00,32.45228597651942,3.256198927234891,105.67109878306243
S00124,C4386,150,2025-08-19 18:41:00,43.65868061781495,3.256198927234891,142.16134899221979
S00125,C1539,1,2025-09-22 10:20:00,33.19157075775712,2.704520137017849,89.76727149360691
S00126,C4183,21,2025-09-30 15:10:00,45.72421763080232,2.704520137017849,123.66206733189145
S00127,C6121,146,2025-08-30 15:31:00,47.725236122021215,2.704520137017849,129.07386213593801
S00128,C1141,64,2025-10-10 12:27:00,49.36770654013182,2.704520137017849,133.51595645617428
S00129,C5665,81,2025-10-02 09:42:00,22.2872701086261,2.704520137017849,60.27637080793527
S00130,C4987,100,2025-08-24 09:30:00,47.47027612660896,2.704520137017849,128.3843176942116
S00131,C7997,163,2025-11-01 16:47:00,30.016838081464208,3.256198927234891,97.74079595984718
S00132,C1046,36,2025-08-29 10:28:00,41.90512120861122,2.704520137017849,113.33324415286279
S00133,C4335,55,2025-10-26 08:09:00,51.87440446735446,2.704520137017849,140.2953714777688
S00134,C1071,36,2025-10-06 23:23:00,42.63012404933218,1.8513967524242176,78.92527322037513
S00135,C1730,141,2025-10-01 17:55:00,37.17825038660774,3.256198927234891,121.05977902534231
S00136,C0888,63,2025-10-05 16:18:00,40.33518441948049,3.256198927234891,131.33938423653387
S00137,C7186,98,2025-10-26 18:24:00,51.000582628640345,3.256198927234891,166.0680424437331
S00138,C7502,100,2025-09-07 00:08:00,37.46002267081963,1.8513967524242176,69.35336431849304
S00139,C6339,102,2025-08-30 16:46:00,54.16885672397035,3.256198927234891,176.38457315413277
S00140,C7571,36,2025-08-27 15:18:00,48.34375538440855,2.704520137017849,130.746659936198
S00141,C3469,21,2025-09-25 01:08:00,52.17783253141845,1.8513967524242176,96.60186969720282
S00142,C2075,51,2025-09-05 13:23:00,28.029764895848828,2.704520137017849,75.80706359669917
S00143,C4217,116,2025-08-27 04:21:00,36.1908928792741,1.8513967524242176,67.00370154402081
S00144,C3233,104,2025-10-10 00:33:00,42.380865473453945,1.8513967524242176,78.46379670248028
S00145,C0279,182,2025-09-12 11:13:00,48.522938232727405,2.704520137017849,131.23126355768454
S00146,C4814,145,2025-08-15 18:16:00,56.83308846199295,3.256198927234891,185.0598416813871
S00147,C5250,160,2025-09-16 10:52:00,36.13788277448155,2.704520137017849,97.7356316727758
S00148,C5722,88,2025-10-05 13:52:00,57.17846266371985,2.704520137017849,154.64030367775356
S00149,C5373,150,2025-10-21 09:17:00,26.11743002057723,2.704520137017849,70.63511541780562
S00150,C4865,78,2025-08-19 09:10:00,31.63588237926379,2.704520137017849,85.55988094704706
S00151,C7099,163,2025-09-23 22:54:00,39.82813613212572,1.8513967524242176,73.7376818901272
S00152,C5783,146,2025-08-26 07:45:00,37.51438987242845,1.8513967524242176,69.45401957899
S00153,C2504,61,2025-11-07 19:50:00,62.82770445655641,3.256198927234891,204.57950385206976
S00154,C2816,159,2025-08-30 06:59:00,47.029597821828844,1.8513967524242176,87.07044467515098
S00155,C5375,126,2025-10-29 11:43:00,24.05011653501684,2.704520137017849,65.04402446657899
S00156,C4176,116,2025-10-17 08:27:00,24.251713366478157,2.704520137017849,65.58924715682511
S00157,C6604,78,2025-09-16 15:54:00,32.585646026493535,2.704520137017849,88.12853585638743
S00158,C3896,85,2025-09-13 15:24:00,40.900050760995484,2.704520137017849,110.61501088816449
S00159,C4851,134,2025-10-10 01:19:00,68.72324909862337,1.8513967524242176,127.23400019723185
S00160,C5214,144,2025-10-23 10:32:00,60.22874509581527,2.704520137017849,162.88985393894743
S00161,C7230,106,2025-10-16 18:39:00,32.89119287750393,3.256198927234891,107.10026696320419
S00162,C7835,145,2025-09-04 20:38:00,14.970679789445844,1.8513967524242176,27.716667943762907
S00163,C0467,182,2025-09-14 13:38:00,31.77594847821435,2.704520137017849,85.93869253217238
S00164,C4667,33,2025-09-05 10:23:00,55.08743521053755,2.704520137017849,148.9850778235649
S00165,C1333,164,2025-10-11 14:30:00,39.33650383746978,2.704520137017849,106.38636674831692
S00166,C5104,92,2025-08-17 11:29:00,25.971797280404097,2.704520137017849,70.24124873939829
S00167,C1446,92,2025-08-12 18:52:00,63.275302178478405,3.256198927234891,206.03697107402493
S00168,C7178,1,2025-10-31 13:12:00,53.565826205708824,2.704520137017849,144.86985562933793
S00169,C7181,102,2025-10-05 16:19:00,19.75525426720349,3.256198927234891,64.3270377521205
S00170,C2799,1,2025-10-10 14:52:00,46.001132483345266,2.704520137017849,124.41098912683317
S00171,C0531,150,2025-09-16 19:07:00,35.08015324754319,3.256198927234891,114.22795737188571
S00172,C7978,145,2025-11-03 10:08:00,50.13511564372471,2.704520137017849,135.59142983017207
S00173,C5393,109,2025-10-16 11:07:00,52.822399664538715,2.704520137017849,142.85924357834983
S00174,C7714,55,2025-09-16 11:49:00,28.626371550500767,2.704520137017849,77.4205983080842
S00175,C3832,63,2025-09-16 11:44:00,47.98767108193983,2.704520137017849,129.78362276969537
S00176,C2882,73,2025-10-19 09:24:00,25.409188286329154,2.704520137017849,68.71966138565526
S00177,C0363,119,2025-08-17 12:16:00,18.966853405454536,2.704520137017849,51.29623697091736
S00178,C3235,100,2025-10-01 09:23:00,31.076079525302767,2.704520137017849,84.04588285574941
S00179,C5767,122,2025-09-22 13:59:00,46.42283130629094,2.704520137017849,125.55148208524646
S00180,C4881,118,2025-08-12 10:08:00,35.19896265200683,2.704520137017849,95.19630329449166
S00181,C6278,28,2025-10-05 09:47:00,52.25636584516835,2.704520137017849,141.32839371562955
S00182,C3064,70,2025-10-01 20:37:00,43.49817389406207,1.8513967524242176,80.5323778838504
S00183,C5033,175,2025-10-25 01:17:00,18.800857244463366,1.8513967524242176,34.8078460451908
S00184,C0803,90,2025-11-01 18:38:00,47.499415528081016,3.256198927234891,154.66754588682173
S00185,C7489,136,2025-10-06 02:42:00,28.56626529921118,1.8513967524242176,52.8874908038482
S00186,C6844,175,2025-08-27 13:00:00,36.43582449595734,2.704520137017849,98.54142105816486
S00187,C6602,141,2025-10-22 19:56:00,53.277267958580275,3.256198927234891,173.48138277273492
S00188,C0062,18,2025-09-05 10:55:00,15.193577723647,2.704520137017849,41.091336906949124
S00189,C2715,119,2025-08-28 11:40:00,56.65068402969022,2.704520137017849,153.21291573413268
S00190,C6506,14,2025-10-14 11:20:00,65.22344810809145,2.704520137017849,176.39812881407204
S00191,C0504,164,2025-10-31 15:11:00,29.745904598408107,2.704520137017849,80.44839798020656
S00192,C3048,164,2025-09-08 08:30:00,71.76870855320843,2.704520137017849,194.09991748991735
S00193,C1924,115,2025-10-23 19:36:00,60.36113871183823,3.256198927234891,196.5478751201641
S00194,C5059,182,2025-09-12 15:30:00,16.07795296798247,2.704520137017849,43.48314756393448
S00195,C3556,13,2025-10-11 06:53:00,54.659029372354716,1.8513967524242176,101.19554947063745
S00196,C0575,67,2025-09-24 14:13:00,27.601510864865183,2.704520137017849,74.64884194614484
S00197,C7071,145,2025-10-31 09:35:00,17.064066824900507,2.704520137017849,46.150112347361656
S00198,C2100,90,2025-10-29 10:10:00,59.364672682409804,2.704520137017849,160.55295269705073
S00199,C3868,118,2025-11-01 19:11:00,31.746334130526158,3.256198927234891,103.37237913945968
S00200,C1373,141,2025-10-13 17:20:00,37.839047793907966,3.256198927234891,123.21146683411288
S00201,C7266,27,2025-08-25 18:49:00,15.0946895435106,3.256198927234891,49.15131189852295
S00202,C3242,97,2025-08-20 12:50:00,33.38186643155869,2.704520137017849,90.28192997539065
S00203,C6623,88,2025-09-07 10:50:00,41.193691356837085,2.704520137017849,111.40916779266402
S00204,C4394,155,2025-09-07 18:20:00,52.78672470749315,3.256198927234891,171.88407636478271
S00205,C5000,153,2025-09-11 18:46:00,25.377786231122077,3.256198927234891,82.63512030137609
S00206,C1383,165,2025-11-03 15:04:00,47.10901309043239,2.704520137017849,127.40727453811186
S00207,C3717,115,2025-09-20 13:16:00,43.91867442121068,2.704520137017849,118.77893936329502
S00208,C1151,130,2025-10-17 19:10:00,36.59376293386776,3.256198927234891,119.15657160874811
S00209,C1013,88,2025-09-01 05:45:00,50.29489771999243,1.8513967524242176,93.11581030230217
S00210,C2567,104,2025-11-02 05:33:00,60.62495831730473,1.8513967524242176,112.24085094451154
