customer_id,income_tier,car_model,battery_capacity_kwh
C0001,High,Tesla Model 3,75.0
C0002,Mid-Range,MG ZS EV,69.9
C0003,Mid-Range,Hyundai Kona Electric,64.0
C0004,High,Ford Mustang Mach-E,91.0
C0005,High,BMW i4,83.9
C0006,Low-Mid,Peugeot e-208,50.0
C0007,Low-Mid,Peugeot e-208,50.0
C0008,Mid-Range,Hyundai Ioniq 5,77.4
C0009,Low-Mid,Fiat 500e,42.0
C0010,Low-Mid,Fiat 500e,42.0
C0011,Low-Mid,Opel Corsa-e,50.0
C0012,Low-Mid,Peugeot e-208,50.0
C0013,Low-Mid,Citroën ë-C4,50.0
C0014,Mid-Range,Hyundai Kona Electric,64.0
C0015,Mid-Range,Hyundai Kona Electric,64.0
C0016,Mid-Range,MG ZS EV,69.9
C0017,Mid-Range,MG ZS EV,69.9
C0018,Low-Mid,Dacia Spring,26.8
C0019,Low-Mid,Fiat 500e,42.0
C0020,Low-Mid,Dacia Spring,26.8
C0021,Low-Mid,Dacia Spring,26.8
C0022,Mid-Range,MG ZS EV,69.9
C0023,High,BMW i4,83.9
C0024,Low-Mid,Fiat 500e,42.0
C0025,Mid-Range,Hyundai Ioniq 5,77.4
C0026,Low-Mid,Opel Corsa-e,50.0
C0027,Low-Mid,Peugeot e-208,50.0
C0028,High,Ford Mustang Mach-E,91.0
C0029,Low-Mid,Citroën ë-C4,50.0
C0030,Mid-Range,MG ZS EV,69.9
C0031,Mid-Range,Skoda Enyaq iV,77.0
C0032,Low-Mid,Citroën ë-C4,50.0
C0033,High,Audi e-tron,95.0
C0034,Mid-Range,BYD Atto 3,60.5
C0035,High,Ford Mustang Mach-E,91.0
C0036,Low-Mid,Fiat 500e,42.0
C0037,Low-Mid,Peugeot e-208,50.0
C0038,Mid-Range,Skoda Enyaq iV,77.0
C0039,Low-Mid,Peugeot e-208,50.0
C0040,High,BMW i4,83.9
C0041,High,Ford Mustang Mach-E,91.0
C0042,Mid-Range,Kia EV6,77.4
C0043,Low-Mid,Fiat 500e,42.0
C0044,Low-Mid,Renault Zoe,52.0
C0045,High,Porsche Taycan,93.4
C0046,Low-Mid,Opel Corsa-e,50.0
C0047,Mid-Range,Volkswagen ID.4,77.0
C0048,Low-Mid,Dacia Spring,26.8
C0049,Mid-Range,Volkswagen ID.4,77.0
C0050,Mid-Range,MG ZS EV,69.9
C0051,High,Porsche Taycan,93.4
C0052,Mid-Range,Nissan Leaf,62.0
C0053,Low-Mid,Peugeot e-208,50.0
C0054,Low-Mid,Renault Zoe,52.0
C0055,Mid-Range,Hyundai Kona Electric,64.0
C0056,Low-Mid,Opel Corsa-e,50.0
C0057,Mid-Range,Hyundai Ioniq 5,77.4
C0058,Mid-Range,Skoda Enyaq iV,77.0
C0059,Low-Mid,Opel Corsa-e,50.0
C0060,Low-Mid,Peugeot e-208,50.0
C0061,Low-Mid,Renault Zoe,52.0
C0062,Low-Mid,Dacia Spring,26.8
C0063,Low-Mid,Dacia Spring,26.8
C0064,High,Audi e-tron,95.0
C0065,Mid-Range,Skoda Enyaq iV,77.0
C0066,Low-Mid,Dacia Spring,26.8
C0067,High,Audi e-tron,95.0
C0068,Low-Mid,Fiat 500e,42.0
C0069,Mid-Range,Kia EV6,77.4
C0070,Mid-Range,MG ZS EV,69.9
C0071,Low-Mid,Renault Zoe,52.0
C0072,Low-Mid,Renault Zoe,52.0
C0073,Mid-Range,Hyundai Kona Electric,64.0
C0074,High,Audi e-tron,95.0
C0075,Low-Mid,Peugeot e-208,50.0
C0076,Low-Mid,Citroën ë-C4,50.0
C0077,High,Tesla Model Y,75.0
C0078,Low-Mid,Renault Zoe,52.0
C0079,Low-Mid,Opel Corsa-e,50.0
C0080,Mid-Range,Hyundai Ioniq 5,77.4
C0081,Low-Mid,Fiat 500e,42.0
C0082,Mid-Range,Skoda Enyaq iV,77.0
C0083,High,Audi e-tron,95.0
C0084,Mid-Range,Hyundai Ioniq 5,77.4
C0085,Mid-Range,Skoda Enyaq iV,77.0
C0086,Low-Mid,Citroën ë-C4,50.0
C0087,Mid-Range,Skoda Enyaq iV,77.0
C0088,Low-Mid,Dacia Spring,26.8
C0089,Low-Mid,Opel Corsa-e,50.0
C0090,Low-Mid,Renault Zoe,52.0
C0091,Mid-Range,Hyundai Kona Electric,64.0
C0092,Mid-Range,Hyundai Ioniq 5,77.4
C0093,Low-Mid,Peugeot e-208,50.0
C0094,Low-Mid,Peugeot e-208,50.0
C0095,Low-Mid,Citroën ë-C4,50.0
C0096,Low-Mid,Fiat 500e,42.0
C0097,Low-Mid,Renault Zoe,52.0
C0098,Low-Mid,Fiat 500e,42.0
C0099,Mid-Range,MG ZS EV,69.9
C0100,Mid-Range,Hyundai Ioniq 5,77.4
C0101,Mid-Range,Nissan Leaf,62.0
C0102,Low-Mid,Renault Zoe,52.0
C0103,High,Porsche Taycan,93.4
C0104,Low-Mid,Dacia Spring,26.8
C0105,Mid-Range,Kia EV6,77.4
C0106,Mid-Range,MG ZS EV,69.9
C0107,Low-Mid,Fiat 500e,42.0
C0108,Low-Mid,Fiat 500e,42.0
C0109,Mid-Range,Skoda Enyaq iV,77.0
C0110,Low-Mid,Renault Zoe,52.0
C0111,Mid-Range,Nissan Leaf,62.0
C0112,Mid-Range,Kia EV6,77.4
C0113,Mid-Range,Hyundai Kona Electric,64.0
C0114,Mid-Range,Nissan Leaf,62.0
